img,adj1,adj2,adj1not,adj2not,feature1,feature2,num_objs1,num_objs2,position,obj1shape, obj1color,obj1pattern,obj2shape, obj2color,obj2pattern,obj3shape, obj3color,obj3pattern
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0001.jpg,green,circle,blue,square,color,shape,3,3,1,circle,green,solid,circle,green,solid,circle,green,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0002.jpg,green,dotted,blue,striped,color,pattern,3,3,2,cloud,green,dotted,cloud,green,dotted,cloud,green,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0003.jpg,circle,dotted,square,striped,shape,pattern,3,3,2,circle,red,dotted,circle,red,dotted,circle,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0004.jpg,circle,striped,square,dotted,shape,pattern,3,3,2,circle,red,striped,circle,red,striped,circle,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0005.jpg,square,striped,circle,dotted,shape,pattern,3,3,1,square,red,striped,square,red,striped,square,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0006.jpg,striped,green,dotted,blue,pattern,color,3,3,3,cloud,green,striped,cloud,green,striped,cloud,green,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0007.jpg,dotted,circle,striped,square,pattern,shape,3,3,1,circle,red,dotted,circle,red,dotted,circle,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0008.jpg,blue,square,green,circle,color,shape,3,3,3,square,blue,solid,square,blue,solid,square,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0009.jpg,circle,green,square,blue,shape,color,3,3,3,circle,green,solid,circle,green,solid,circle,green,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0010.jpg,striped,square,dotted,circle,pattern,shape,3,3,2,square,red,striped,square,red,striped,square,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0011.jpg,striped,square,dotted,circle,pattern,shape,3,3,2,square,red,striped,square,red,striped,square,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0012.jpg,striped,square,dotted,circle,pattern,shape,3,3,2,square,red,striped,square,red,striped,square,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0013.jpg,dotted,square,striped,circle,pattern,shape,3,3,3,square,red,dotted,square,red,dotted,square,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0014.jpg,circle,dotted,square,striped,shape,pattern,3,3,2,circle,red,dotted,circle,red,dotted,circle,red,dotted
